Estados,Universo,Registros
Preguntas Respuestas y Aclaraciones,359,0
Calificacion de Participantes,1100,390
Oferta Inicial,107,57
Negociación,1156,551
Puja,0,0
Reprogramación Puja,5,0
Por Adjudicar,4651,2276
Convalidación de Errores,354,123
Adjudicada,23138,10050
Desierta,161768,68190
Cancelada,15026,6628
Finalizada,202023,94511
Terminado Unilateralmente,1032,447
Entrega de Propuesta,479,101
Adjudicado - Registro de Contratos,17905,8277
En Recepción,4170,1892
Ejecucion de Contrato,35767,16516
Finalizada por mutuo acuerdo,2290,1003
Finalizada por disolución de la persona Jurídica,13,5
Finalizada a solicitud del contratista,19,10
Suspendida,255,121
