Estados,Registros
Preguntas Respuestas y Aclaraciones,359
Calificacion de Participantes,1100
Oferta Inicial,107
Negociación,1156
Puja,0
Reprogramación Puja,5
Por Adjudicar,4651
Convalidación de Errores,354
Adjudicada,23138
Desierta,161768
Cancelada,15026
Finalizada,202023
Terminado Unilateralmente,1032
Entrega de Propuesta,479
Adjudicado - Registro de Contratos,17905
En Recepción,4170
Ejecucion de Contrato,35767
Finalizada por mutuo acuerdo,2290
Finalizada por disolución de la persona Jurídica,13
Finalizada a solicitud del contratista,19
Suspendida,255
