Estados,Universo,Registros
Suspendida,255,121
Finalizada a solicitud del contratista,19,10
Finalizada por disolución de la persona Jurídica,13,5
Finalizada por mutuo acuerdo,2290,1003
Ejecucion de Contrato,35767,16516
En Recepción,4170,1892
Adjudicado - Registro de Contratos,17905,8277
Entrega de Propuesta,479,101
Terminado Unilateralmente,1032,447
Finalizada,202023,94511
Cancelada,15026,6628
Desierta,161768,68190
Adjudicada,23138,10050
Convalidación de Errores,354,123
Por Adjudicar,4651,2276
Reprogramación Puja,5,0
Puja,0,0
Negociación,1156,551
Oferta Inicial,107,57
Calificacion de Participantes,1100,390
Preguntas Respuestas y Aclaraciones,359,0



















