"word","ndoc","nentry",
,,,
de,79127,105115,si
,,,si
desierto,64148,64160,si
,,,si
resolucion,38642,38655,si
,,,si
acta,32184,32230,si
,,,si
proceso,16682,16689,si
,,,si
declaracion,14377,14377,si
,,,si
declaratoria,14159,14166,si
,,,si
inform,13200,13210,si
,,,si
el,12203,12210,si
,,,si
certificacion,10719,10725,si
,,,si
oferta,10019,10041,si
,,,si
resoluci�n,8640,8645,si
,,,si
estudio,8561,8567,si
,,,si
y,7837,7871,si
,,,si
presupuestaria,7187,7188,si
,,,si
mercado,6764,6767,si
,,,si
sign,4353,6621,si
,,,si
pac,5864,5886,si
,,,si
apertura,5124,5125,si
,,,si
sie,3926,3932,si
,,,si
recomendacion,3317,3317,si
,,,si
"2",3265,3312,si
,,,si
"1",3166,3244,si
,,,si
desierta,3240,3241,si
,,,si
oficio,3199,3210,si
,,,si
inicio,3120,3123,si
,,,si
anexo,3086,3087,si
,,,si
solicitud,3053,3054,si
,,,si
del,2814,2869,si
,,,si
calificacion,2850,2852,si
,,,si
tecnica,2811,2811,si
,,,si
memorando,2779,2781,si
,,,si
presupuesto,2773,2773,si
,,,si
part,2755,2768,si
,,,si
referenci,2462,2463,si
,,,si
respuesta,2341,2342,si
,,,si
certificaci�n,2319,2319,si
,,,si
m,2196,2205,si
,,,si
"2022",2149,2175,si
,,,si
autorizacion,2121,2122,si
,,,si
pregunta,2120,2122,si
,,,si
proforma,2022,2025,si
,,,si
la,1966,2013,si
,,,si
sercop,1974,2006,si
,,,si
"2021",1823,1843,si
,,,si
"3",1800,1812,si
,,,si
convalidacion,1770,1774,si
,,,si
verificacion,1767,1767,si
,,,si
declarar,1715,1715,si
,,,si
comis,1700,1700,si
,,,si
necesidad,1659,1661,si
,,,si
catalogo,1547,1547,si
,,,si
expedient,1509,1509,si
,,,si
pliego,1452,1454,si
,,,si
archivo,1425,1425,si
,,,si
para,1385,1395,si
,,,si
certificado,1387,1387,si
,,,si
poa,1329,1329,si
,,,si
documento,1299,1299,si
,,,si
reapertura,1286,1286,si
,,,si
especificacion,1272,1272,si
,,,si
iess,1247,1247,si
,,,si
declaraci�n,1228,1230,si
,,,si
designacion,1174,1176,si
,,,si
error,1121,1126,si
,,,si
memo,1089,1090,si
,,,si
calculo,1051,1052,si
,,,si
tecnico,1047,1047,si
,,,si
"4",1039,1045,si
,,,si
requerimiento,1028,1028,si
,,,si
aclaracion,1025,1025,si
,,,si
-2021,1003,1018,si
,,,si
administrativa,987,988,si
,,,si
resultado,942,942,si
,,,si
-2022,914,926,si
,,,si
recepcion,898,898,si
,,,si
cierr,843,843,si
,,,si
procedimiento,838,839,si
,,,si
al,831,838,si
,,,si
recomendaci�n,824,824,si
,,,si
correo,814,816,si
,,,si
cotizacion,789,799,si
,,,si
reforma,795,798,si
,,,si
t�cnica,776,776,si
,,,si
notificacion,761,763,si
,,,si
electronico,761,761,si
,,,si
nro,760,761,si
,,,si
mimg,734,735,si
,,,si
delegado,729,731,si
,,,si
"2020",711,716,si
,,,si
"5",708,711,si
,,,si
bodega,699,703,si
,,,si
"002",667,675,si
,,,si
evaluacion,646,649,si
,,,si
habilitant,643,643,si
,,,si
cate,639,639,si
,,,si
calificaci�n,630,630,si
,,,si
sobr,613,615,si
,,,si
gasto,607,608,si
,,,si
final,599,601,si
,,,si
"001",592,598,si
,,,si
referencia,597,597,si
,,,si
en,590,597,si
,,,si
stock,589,592,si
,,,si
aprobacion,592,592,si
,,,si
hoja,591,591,si
,,,si
oferent,582,583,si
,,,si
firma,568,570,si
,,,si
ruta,569,569,si
,,,si
entrega,553,553,si
,,,si
r,548,552,si
,,,si
hg,552,552,si
,,,si
cuadro,547,548,si
,,,si
aval,536,541,si
,,,si
ficha,534,534,si
,,,si
disponibilidad,532,532,si
,,,si
justificacion,521,521,si
,,,si
delegacion,516,516,si
,,,si
reserva,515,515,si
,,,si
previo,514,514,si
,,,si
etapa,513,513,si
,,,si
comisi�n,512,512,si
,,,si
hcam,512,512,si
,,,si
autorizaci�n,507,507,si
,,,si
termino,500,500,si
,,,si
cert,489,494,si
,,,si
partida,492,492,si
,,,si
"6",469,471,si
,,,si
recurso,455,455,si
,,,si
cpc,453,453,si
,,,si
"7",446,449,si
,,,si
cp,443,444,si
,,,si
identificacion,444,444,si
,,,si
compra,440,440,si
,,,si
determinacion,439,439,si
,,,si
e,438,438,si
,,,si
"003",431,435,si
,,,si
sie-mimg,433,433,si
,,,si
preparatoria,428,428,si
,,,si
pdf,426,426,si
,,,si
justificativo,421,421,si
,,,si
-2020,405,416,si
,,,si
proveedor,416,416,si
,,,si
contratacion,413,413,si
,,,si
pap,401,404,si
,,,si
validacion,403,403,si
,,,si
formulario,390,390,si
,,,si
cnel,375,388,si
,,,si
por,381,383,si
,,,si
-1,367,376,si
,,,si
contrato,373,373,si
,,,si
acuerdo,371,371,si
,,,si
ushay,370,370,si
,,,si
