"desc_archivo","nro_veces",,,,
,,,,,
ACTA DE DECLARACION DE DESIERTO EL PROCESO,11525,si,,,
,,,,,
RESOLUCION DE DESIERTO,7885,,,,
,,,,,
RESOLUCION DESIERTO,6488,,,,
,,,,,
ESTUDIO DE MERCADO,3747,,,,
,,,,,
CERTIFICACION PRESUPUESTARIA,3471,,,,
,,,,,
RESOLUCION,2293,,,,
,,,,,
RESOLUCION DECLARATORIA DESIERTO,1947,,,,
,,,,,
CERTIFICACION PAC,1729,,,,
,,,,,
RESOLUCI�N DE DESIERTO,1630,,,,
,,,,,
RESOLUCION DE DECLARATORIA DE DESIERTO,1289,,,,
,,,,,
DESIERTO,1146,,,,
,,,,,
ACTA,958,,,,
,,,,,
DECLARATORIA DE DESIERTO,928,,,,
,,,,,
ACTA DE APERTURA DE OFERTAS,926,,,,
,,,,,
RESOLUCION DESIERTA,817,,,,
,,,,,
ACTA DE APERTURA,787,,,,
,,,,,
ACTA DE DESIERTO,778,,,,
,,,,,
INFORME DE RECOMENDACION,753,,,,
,,,,,
CERTIFICACI�N PRESUPUESTARIA,716,,,,
,,,,,
ACTA DE CALIFICACION,692,,,,
,,,,,
RESOLUCI�N DESIERTO,689,,,,
,,,,,
ESPECIFICACIONES TECNICAS,687,,,,
,,,,,
RESOLUCION DECLARATORIA DE DESIERTO,626,,,,
,,,,,
ACTA DESIERTO,572,,,,
,,,,,
DECLARATORIA DESIERTO,562,,,,
,,,,,
RESOLUCION DE DECLARATORIA DESIERTO,534,,,,
,,,,,
INFORME DE RESULTADOS,518,,,,
,,,,,
RESOLUCION DE INICIO,517,,,,
,,,,,
resolucion,475,,,,
,,,,,
RESOLUCION DE DECLARACION DE DESIERTO,460,,,,
,,,,,
resolucion desierto,452,,,,
,,,,,
DOCUMENTOS HABILITANTES,448,,,,
,,,,,
CERTIFICACION POA,428,,,,
,,,,,
resolucion de desierto,394,,,,
,,,,,
OFERTA,393,,,,
,,,,,
Resoluci�n de Desierto,385,,,,
,,,,,
RESOLUCI�N DE DECLARATORIA DE DESIERTO,374,,,,
,,,,,
RESOLUCION DE DESIERTO Y ARCHIVO,372,,,,
,,,,,
INFORME TECNICO,352,,,,
,,,,,
INFORME DE NECESIDAD,349,,,,
,,,,,
INFORME,348,,,,
,,,,,
RESOLUCI�N DE DECLARACI�N DE DESIERTO,348,,,,
,,,,,
TERMINOS DE REFERENCIA,343,,,,
,,,,,
PAC,341,,,,
,,,,,
REQUERIMIENTO,338,,,,
,,,,,
ACTA DE PREGUNTAS Y RESPUESTAS,338,,,,
,,,,,
RESOLUCI�N DECLARATORIA DESIERTO,337,,,,
,,,,,
desierto,326,,,,
,,,,,
RESOLUCION DECLARACION DESIERTO,321,,,,
,,,,,
RESOLUCION DECLARAR DESIERTO,300,,,,
,,,,,
CERTIFICACI�N PAC,289,,,,
,,,,,
RESOLUCION DE DESIERTO Y REAPERTURA,281,,,,
,,,,,
Resolucion Desierto,273,,,,
,,,,,
Resoluci�n de declaraci�n de desierto,261,,,,
,,,,,
ACTA DE CONVALIDACION DE ERRORES,259,,,,
,,,,,
acta,257,,,,
,,,,,
ACTA DE PREGUNTAS RESPUESTAS Y ACLARACIONES,256,,,,
,,,,,
ACTA DECLARATORIA DESIERTO,252,,,,
,,,,,
RESOLUCI�N ADMINISTRATIVA Y RESERVA DE RECURSOS,249,,,,
,,,,,
RESOLUCION PROCESO DESIERTO,245,,,,
,,,,,
OFICIO SERCOP,244,,,,
,,,,,
RESOLUCI�N DECLARATORIA DE DESIERTO,236,,,,
,,,,,
acta desierto,235,,,,
,,,,,
PRESUPUESTO REFERENCIAL,231,,,,
,,,,,
Resolucion de desierto,230,,,,
,,,,,
INFORME DE RECOMENDACION DE DESIERTO,229,,,,
,,,,,
PLIEGO USHAY PDF,228,,,,
,,,,,
Resolucion de Desierto,224,,,,
,,,,,
CERTIFICACION CATALOGO,217,,,,
,,,,,
Resolucion desierto,215,,,,
,,,,,
acta de desierto,214,,,,
,,,,,
Estudio de mercado,212,,,,
,,,,,
IDENTIFICACION DE LA NECESIDAD,208,,,,
,,,,,
PROFORMA,205,,,,
,,,,,
Resoluci�n Desierto,203,,,,
,,,,,
ACTA DESIERTA,201,,,,
,,,,,
ACTA DE PREGUNTAS,200,,,,
,,,,,
ACTA APERTURA DE OFERTAS,196,,,,
,,,,,
OFICIO,195,,,,
,,,,,
Resolucion,194,,,,
,,,,,
ANEXO ESTUDIO DE MERCADO,190,,,,
,,,,,
INFORME FINAL,189,,,,
,,,,,
RESOLUCION DECLARATORIA DESIERTA,189,,,,
,,,,,
ACTA APERTURA OFERTAS,186,,,,
,,,,,
ESTUDIOS PREVIOS,185,,,,
,,,,,
ACTA DE APERTURA DE SOBRES,180,,,,
,,,,,
DISPONIBILIDAD PRESUPUESTARIA,180,,,,
,,,,,
Resoluci�n de desierto,179,,,,
,,,,,
STOCK DE BODEGA,175,,,,
,,,,,
ACTA APERTURA,175,,,,
,,,,,
Estudio de Mercado,172,,,,
,,,,,
INFORME DE RECOMENDACI�N,172,,,,
,,,,,
PROFORMA 2,172,,,,
,,,,,
MEMORANDO,168,,,,
,,,,,
ACTA CALIFICACION,165,,,,
,,,,,
CERTIFICADO PAC,163,,,,
,,,,,
Resoluci�n,163,,,,
,,,,,
INFORME DE DESIERTO,160,,,,
,,,,,
estudio de mercado,160,,,,
,,,,,
Declaratoria de Desierto,158,,,,
,,,,,
RESOLUCION DE DECLARACION DESIERTO,157,,,,
,,,,,
PROFORMA 1,156,,,,
,,,,,
RESOLUCION DESIERTO Y REAPERTURA,153,,,,
,,,,,
ETAPA PREPARATORIA,148,,,,
,,,,,
ACTA DE DECLARATORIA DE DESIERTO,146,,,,
,,,,,
RESOLUCION ADMINISTRATIVA,144,,,,
,,,,,
RESOLUCION DESIERTO Y ARCHIVO,144,,,,
,,,,,
RESOLUCION INICIO,143,,,,
,,,,,
OFERTA 1,142,,,,
,,,,,
ACTA DE APERTURA DE OFERTA,135,,,,
,,,,,
PROFORMA 3,135,,,,
,,,,,
PARTIDA PRESUPUESTARIA,131,,,,
,,,,,
CUADRO COMPARATIVO,130,,,,
,,,,,
Certificaci�n PAC,130,,,,
,,,,,
ESTUDIO MERCADO,129,,,,
,,,,,
CERTIFICACION CATALOGO ELECTRONICO,129,,,,
,,,,,
OFERTA 2,128,,,,
,,,,,
ACTA DECLARATORIA DE DESIERTO,128,,,,
,,,,,
ACTA DE CONVALIDACION,126,,,,
,,,,,
CALCULO DEL PRESUPUESTO REFERENCIAL,124,,,,
,,,,,
TDR,123,,,,
,,,,,
PREPARATORIA,123,,,,
,,,,,
PROFORMAS,123,,,,
,,,,,
RESOLUCI�N,122,,,,
,,,,,
DECLARATORIA DESIERTA,122,,,,
,,,,,
INFORME DE CALIFICACION,121,,,,
,,,,,
INFORME RECOMENDACION DESIERTO,120,,,,
,,,,,
Acta declaratoria desierto,119,,,,
,,,,,
CERTIFICACION PAPP,119,,,,
,,,,,
RESOLUCION DE PROCESO DESIERTO,118,,,,
,,,,,
PROCESO DESIERTO,118,,,,
,,,,,
VERIFICACION PAC,117,,,,
,,,,,
Certificaci�n presupuestaria,116,,,,
,,,,,
Certificacion presupuestaria,116,,,,
,,,,,
Declaratoria de desierto,115,,,,
,,,,,
ACTA 2,114,,,,
,,,,,
Acta de desiertos,114,,,,
,,,,,
ACTA DE DECLARACION DE DESIERTO,112,,,,
,,,,,
RESOLUCION PARA DECLARAR DESIERTO,112,,,,
,,,,,
ACTA DE CALIFICACI�N,111,,,,
,,,,,
AVAL PAP,111,,,,
,,,,,
DECLARACION DESIERTO,111,,,,
,,,,,
Certificacion Presupuestaria,111,,,,
,,,,,
CALCULO PRESUPUESTO REFERENCIAL,110,,,,
,,,,,
INFORME DESIERTO,110,,,,
,,,,,
AUTORIZACION DE INICIO,108,,,,
,,,,,
RESOLUCION ADMINISTRATIVA DE DESIERTO,108,,,,
,,,,,
REFORMA PAC,107,,,,
,,,,,
Certificaci�n Presupuestaria,107,,,,
,,,,,
INFORME DE RECOMENDACION DESIERTO,105,,,,
,,,,,
Desierto,104,,,,
,,,,,
ESTUDIOS,103,,,,
,,,,,
ESTUDIO,103,,,,
,,,,,
CERTIFICACION CATE,103,,,,
,,,,,
POA,102,,,,
,,,,,
RESOLUCION DE DECLARATORIA DESIERTA,101,,,,
,,,,,
ACTA 1,101,,,,
,,,,,
ACTA DE CIERRE,100,,,,
,,,,,
ACTA DE CIERRE DE OFERTAS,100,,,,
,,,,,
DECLARACION DESIERTA,100,,,,
,,,,,
certificacion presupuestaria,100,,,,
,,,,,
Resoluci�n de Declaratoria de Desierto,100,,,,
,,,,,
Resoluci�n Declaratoria Desierto,99,,,,
,,,,,
RESERVA DE RECURSOS,99,,,,
,,,,,
RESOLUCION DE CANCELACION,98,,,,
,,,,,
ESPECIFICACIONES T�CNICAS,98,,,,
,,,,,
CERTIFICACION FINANCIERA,97,,,,
,,,,,
INFORME COMISION TECNICA,96,,,,
,,,,,
ACTA DE CALIFICACION DE OFERTAS,95,,,,
,,,,,
RESOLUCI�N DE INICIO,95,,,,
,,,,,
VERIFICACION CATE,94,,,,
,,,,,
CP,94,,,,
,,,,,
Certificacion PAC,94,,,,
,,,,,
CERTIFICACION,93,,,,
,,,,,
DECLARACION DE DESIERTO,93,,,,
,,,,,
Resoluci�n desierto,93,,,,
,,,,,
Resoluci�n de declaratoria de desierto,92,,,,
,,,,,
AUTORIZACION DE INICIO Y GASTO,92,,,,
,,,,,
INFORME DE DECLARATORIA DE DESIERTO,90,,,,
,,,,,
RESOLUCION DECLARACION DE DESIERTO,90,,,,
,,,,,
RESOLUCION DECLARANDO DESIERTO,90,,,,
,,,,,
REFORMA AL PAC,89,,,,
,,,,,
ANEXO,89,,,,
,,,,,
CALCULO DE PRESUPUESTO REFERENCIAL,87,,,,
,,,,,
RESOLUCION DESIERTOS,87,,,,
,,,,,
OFERTA1,83,,,,
,,,,,
CONVOCATORIA,83,,,,
,,,,,
CERTIFICACIONES PRESUPUESTARIAS,82,,,,
,,,,,
CERTIFICACI�N POA,82,,,,
,,,,,
PROYECTO,82,,,,
,,,,,
ACTA DE RECEPCION DE OFERTAS,81,,,,
,,,,,
INFORME DECLARATORIA DESIERTO,81,,,,
,,,,,
DESIGNACION SECRETARIO,81,,,,
,,,,,
ACTA DE NEGOCIACION,80,,,,
,,,,,
RECOMENDACION DE DESIERTO,80,,,,
,,,,,
ACTA 3,79,,,,
,,,,,
RESOLUCION_DESIERTO,78,,,,
,,,,,
COMISION TECNICA,76,,,,
,,,,,
INFORME RECOMENDACION,76,,,,
,,,,,
JUSTIFICATIVO DE REQUERIMIENTO,76,,,,
,,,,,
ACTA DE PREGUNTAS Y ACLARACIONES,75,,,,
,,,,,
OFERTA 001,75,,,,
,,,,,
RESOLUCION DE DECLARATORIA DE PROCEDIMIENTO DESIERTO,75,,,,
,,,,,
PLIEGO,75,,,,
,,,,,
RESOLUCION DECLARATORIA PROCESO DESIERTO,73,,,,
,,,,,
SOLICITUD DE BIENES,73,,,,
,,,,,
RESOL DESIERTO,73,,,,
,,,,,
ACTA PREGUNTAS RESPUESTAS ACLARACIONES,73,,,,
,,,,,
ESTUDIO CALCULO PRESUPUESTO REFERENCIAL,73,,,,
,,,,,
AUTORIZACION DE GASTO,72,,,,
,,,,,
CORREO,72,,,,
,,,,,
RECOMENDACION DE DESIERTO Y ARCHIVO,72,,,,
,,,,,
resoluci�n desierto,72,,,,
,,,,,
OFERTA SIAEMICRO,71,,,,
,,,,,
RESOLUCI�N DE DECLARATORIA DESIERTO,71,,,,
,,,,,
Resoluci�n declaratoria de desierto,71,,,,
,,,,,
ACTA DESIERTOS,71,,,,
,,,,,
DOCUMENTOS,71,,,,
,,,,,
RESOLUCION MOTIVADA,70,,,,
,,,,,
Resolucion de Declaratoria de Desierto,70,,,,
,,,,,
Resolucion Declaratoria Desierto,70,,,,
,,,,,
RESOLUCION DECLARACION DESIERTA,69,,,,
,,,,,
DESIGNACION COMISION TECNICA,69,,,,
,,,,,
INFORME DE PRESUPUESTO REFERENCIAL,69,,,,
,,,,,
INFORME DEL PROCESO,68,,,,
,,,,,
CERTIFICADO PRESUPUESTARIO,68,,,,
,,,,,
Acta de declaratoria de desierto,68,,,,
,,,,,
SOLICITUD DE COMPRA,68,,,,
,,,,,
PEDIDO,67,,,,
